date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:02	993/993	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2017:14:45%20GMT	https://bulgar.live/robots.txt		(from )
20:14:02	10321/10321	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2014%20Oct%202024%2017:14:45%20GMT	https://bulgar.live/	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/index.html	(from )
20:14:02	322/322	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2014%20Oct%202024%2017:14:45%20GMT	https://bulgar.live/applications	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/applications	(from https://bulgar.live/)
20:14:03	1702/1702	---MC-	302	error ('Found')	text/html	date:Mon,%2014%20Oct%202024%2017:14:46%20GMT	https://bulgar.live/auth/discord/start	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/auth/discord/start	(from https://bulgar.live/)
20:14:03	8661/8661	U--M-Z	200	updated ('OK')	text/css	etag:%2221d5-614a01d600975-gzip%22	https://bulgar.live/bulgar/login.css	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/bulgar/login.css	(from https://bulgar.live/)
20:14:03	322/322	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2014%20Oct%202024%2017:14:46%20GMT	https://bulgar.live/applications	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/applications	(from https://bulgar.live/)
20:14:03	102217/102217	U-----	200	untouched ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/Users/Administrator/Desktop/Site/Site/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://bulgar.live/)
20:14:03	1702/1702	---MC-	302	error ('Found')	text/html	date:Mon,%2014%20Oct%202024%2017:14:46%20GMT	https://bulgar.live/auth/discord/start	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/auth/discord/start	(from https://bulgar.live/)
20:14:09	13119/13119	U--M-Z	200	updated ('OK')	application/javascript	etag:%22333f-614a01d60b556-gzip%22	https://bulgar.live/build/runtime.js	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/build/runtime.js	(from https://bulgar.live/)
20:14:10	3388/3388	U--M-Z	200	updated ('OK')	application/javascript	etag:%22d3c-614a01d60c4f6-gzip%22	https://bulgar.live/build/app.js	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/build/app.js	(from https://bulgar.live/)
20:14:10	1279/1279	U--M-Z	200	updated ('OK')	application/javascript	etag:%224ff-614a01d601915-gzip%22	https://bulgar.live/sidebar/sidebar.js	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/sidebar/sidebar.js	(from https://bulgar.live/)
20:14:11	322/322	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2014%20Oct%202024%2017:14:53%20GMT	https://bulgar.live/profile/	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/profile/index.html	(from https://bulgar.live/)
20:14:14	36380/36380	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2014%20Oct%202024%2017:14:54%20GMT	https://bulgar.live/rules	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/rules.html	(from https://bulgar.live/)
20:14:14	1449567/1449567	U--MCZ	200	updated ('OK')	application/javascript	etag:%22161e5f-614a01d60e436-gzip%22	https://bulgar.live/build/vendors-node_modules_bootstrap-star-rating_js_star-rating_min_js-node_modules_bootstrap_dist_-6da4ee.js	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/build/vendors-node_modules_bootstrap-star-rating_js_star-rating_min_js-node_modules_bootstrap_dist_-6da4ee.js	(from https://bulgar.live/)
20:14:14	1324922/1324922	U-----	200	untouched ('')	image/png	etag:%2214377a-614a01d605795%22	https://bulgar.live/images/bulgar-logo.png	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/images/bulgar-logo.png	(from https://bulgar.live/)
20:14:14	171728/171728	U-----	200	untouched ('')	image/png	etag:%2229ed0-614a01d603855%22	https://bulgar.live/images/about-us.png	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/images/about-us.png	(from https://bulgar.live/)
20:14:14	1702/1702	---MC-	302	error ('Found')	text/html	date:Mon,%2014%20Oct%202024%2017:14:57%20GMT	https://bulgar.live/auth/discord/start	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/auth/discord/start	(from https://bulgar.live/profile/)
20:14:14	1702/1702	---MC-	302	error ('Found')	text/html	date:Mon,%2014%20Oct%202024%2017:14:57%20GMT	https://bulgar.live/auth/discord/start	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/auth/discord/start	(from https://bulgar.live/profile/)
20:14:15	1668/1668	U--M-Z	200	updated ('OK')	text/css	etag:%22684-614a01d5ff9d5-gzip%22	https://bulgar.live/bulgar/rules.css	C:/Users/Administrator/Desktop/Site/Site/bulgar.live/bulgar/rules.css	(from https://bulgar.live/rules)
